"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"Martinique","6","0","6","3","0","9","10","13","30","53","0","26","1,205","65","1,355"
"Montserrat","0","0","0","1","0","1","9","10","36","55","0","23","1,169","62","1,309"
"Puerto Rico","5","0","5","4","0","9","19","20","40","79","0","38","1,482","89","1,693"
"Saint Barthélemy","0","0","0","0","0","0","6","9","27","42","0","12","812","39","905"
"Saint Kitts and Nevis","1","0","1","0","0","1","10","8","37","55","0","27","1,225","71","1,379"
"Saint Lucia","3","0","3","0","0","3","11","16","35","62","0","30","1,274","65","1,434"
"Saint Martin (French part)","0","0","0","1","0","1","9","10","37","56","0","15","1,034","68","1,173"
"Saint Vincent and the Grenadines","1","0","1","0","0","1","9","13","38","60","0","27","1,298","71","1,457"
"Sint Maarten (Dutch part)","0","0","0","1","0","1","9","10","37","56","0","14","1,013","60","1,143"
"Trinidad and Tobago","0","0","0","0","0","0","11","14","50","75","1","38","1,894","93","2,101"
"Turks and Caicos Islands","0","0","0","0","0","0","7","13","37","57","0","26","1,193","67","1,343"
"Virgin Islands, British","0","0","0","2","0","2","14","13","38","65","0","26","1,251","77","1,419"
"Virgin Islands, U.S.","1","0","1","5","0","6","11","13","30","54","0","26","1,228","75","1,384"
"China","4","1","5","17","0","22","99","181","295","575","1","248","4,261","1,075","6,165"
"Hong Kong","0","0","0","1","0","1","13","24","37","74","1","30","935","97","1,137"
"Japan","14","1","15","1","0","16","41","132","244","417","3","265","3,343","542","4,585"
"Korea, Democratic People's Republic of","1","0","1","0","0","1","7","19","44","70","0","38","700","85","894"
"Korea, Republic of","1","0","1","0","0","1","11","32","56","99","0","49","1,229","123","1,501"
"Macao","0","0","0","0","0","0","5","10","11","26","0","5","402","31","464"
"Mongolia","0","0","0","0","0","0","5","11","24","40","0","29","524","10","603"
"Taiwan, Province of China","0","0","0","0","0","0","19","55","205","279","2","214","2,972","339","3,806"
"Åland Islands","0","0","0","0","0","0","0","0","0","0","0","0","14","1","15"
"Albania","1","0","1","1","0","2","20","47","72","139","0","88","1,039","79","1,346"
"Andorra","0","0","0","0","0","0","0","3","11","14","0","21","306","7","348"
"Austria","3","0","3","4","0","7","24","29","51","104","0","83","835","66","1,091"
"Belgium","1","0","1","0","0","1","6","5","30","41","0","50","688","39","819"
"Bosnia and Herzegovina","0","0","0","0","0","0","9","28","62","99","0","70","900","89","1,158"
"Bulgaria","0","0","0","0","0","0","16","19","73","108","0","86","928","73","1,195"
"Croatia","1","0","1","3","0","4","34","40","104","178","0","100","1,199","124","1,602"
"Czechia","0","0","0","0","0","0","4","10","30","44","0","56","691","39","830"
"Denmark","0","0","0","0","0","0","7","8","33","48","0","44","673","33","798"
"Estonia","0","0","0","0","0","0","2","4","16","22","0","30","501","9","562"
"Faroe Islands","1","0","1","0","0","1","3","4","18","25","0","11","295","21","353"
"Finland","0","0","0","0","0","0","4","3","22","29","0","39","525","14","607"
"France","8","0","8","6","0","14","30","60","163","253","0","159","1,922","296","2,638"
"Germany","4","0","4","5","0","9","18","28","59","105","0","84","920","83","1,196"
"Gibraltar","0","0","0","0","0","0","5","6","26","37","0","18","523","36","614"
"Greece","4","0","4","11","1","16","78","110","251","439","0","162","1,523","265","2,393"
"Greenland","1","0","1","0","0","1","2","5","18","25","0","9","215","21","271"
"Guernsey","0","0","0","0","0","0","1","1","11","13","0","3","192","12","220"
"Holy See (Vatican City State)","0","0","0","0","0","0","0","0","2","2","0","3","21","2","28"
"Hungary","0","0","0","0","0","0","7","15","41","63","0","55","679","47","844"
"Iceland","1","0","1","0","0","1","5","7","19","31","0","17","348","31","428"
"Ireland","1","0","1","0","0","1","9","9","35","53","0","32","757","69","912"
"Isle of Man","0","0","0","0","0","0","1","1","4","6","0","1","75","6","88"
"Italy","3","0","3","7","0","10","48","95","177","320","0","199","1,603","266","2,391"
"Jersey","0","0","0","0","0","0","1","1","12","14","0","2","198","12","226"
"Latvia","0","0","0","0","0","0","2","4","24","30","0","40","541","16","627"
"Liechtenstein","0","0","0","0","0","0","0","1","7","8","0","25","386","7","426"
"Lithuania","0","0","0","0","0","0","2","3","21","26","0","35","525","15","601"
"Luxembourg","0","0","0","0","0","0","2","3","6","11","0","25","439","12","487"
"Malta","0","0","0","0","0","0","8","7","31","46","0","25","559","42","672"
"Monaco","0","0","0","0","0","0","6","5","23","34","0","10","383","26","453"
"Montenegro","1","0","1","1","0","2","17","30","58","105","0","87","975","82","1,250"
"Netherlands","1","0","1","0","0","1","8","4","31","43","0","51","736","38","869"
"North Macedonia","2","0","2","2","0","4","19","35","67","121","0","60","718","49","950"
"Norway","0","0","0","0","0","0","7","9","38","54","0","46","647","31","778"
"Poland","1","0","1","0","0","1","3","13","36","52","0","60","739","34","886"
"Portugal","6","0","6","17","0","23","98","87","128","313","0","115","1,676","282","2,392"
"Romania","2","0","2","2","0","4","19","28","76","123","0","75","916","75","1,191"
"San Marino","0","0","0","0","0","0","1","0","2","3","0","5","61","4","73"
"Serbia","0","0","0","1","0","1","10","12","50","72","0","67","816","29","984"
"Slovakia","0","0","0","0","0","0","6","12","37","55","0","62","709","44","870"
"Slovenia","0","0","0","0","0","0","12","25","107","144","0","58","1,067","85","1,354"
"Spain","2","0","2","12","0","14","75","132","227","434","0","277","2,156","507","3,376"
